"x1","x2","x3","x4","x5","x6","sid"
4,4,3,4,4,3,55
6,6,4,6,4,4,55
5,5,2,6,4,4,55
4,4,5,5,3,3,55
4,4,4,4,3,2,55
4,4,2,4,2,2,55
5,4,3,5,3,3,41
3,2,2,3,3,2,41
4,4,2,4,1,1,41
4,4,2,5,2,2,41
4,4,2,4,4,3,41
5,5,5,5,6,5,219
5,5,3,4,5,4,219
5,5,4,5,5,5,219
4,3,2,3,4,4,219
5,5,3,5,6,4,219
5,6,5,6,5,5,219
6,6,5,6,5,4,219
4,4,5,3,5,4,219
5,5,5,5,5,4,219
6,6,5,6,5,6,219
5,5,3,3,4,2,219
5,5,5,6,5,4,219
5,5,3,5,6,4,219
5,5,4,6,5,5,219
5,5,4,3,5,4,219
5,5,4,3,4,4,219
5,5,3,5,4,3,219
5,5,5,5,6,5,219
6,5,4,3,5,4,219
5,4,4,3,4,4,97
5,4,5,5,4,4,97
2,2,3,3,5,4,97
5,5,4,4,5,5,97
5,4,4,5,5,4,97
5,4,2,4,2,2,97
4,4,4,3,4,4,97
5,4,1,4,1,1,97
6,6,5,6,6,6,97
5,4,3,4,4,4,56
6,6,4,5,5,5,56
6,6,5,5,5,5,56
5,5,5,5,5,5,56
6,6,5,5,5,5,56
5,5,5,3,4,4,56
5,5,4,5,4,5,117
3,2,3,3,3,3,117
6,6,3,5,5,5,117
3,1,4,3,5,2,117
5,5,4,5,3,3,117
5,4,4,5,5,4,117
4,4,4,4,3,3,117
3,2,3,3,3,4,117
5,5,3,5,3,3,117
5,5,4,5,4,4,117
5,5,4,3,4,4,159
5,5,4,5,5,4,159
5,4,2,3,2,2,159
5,5,4,5,4,4,159
4,4,3,4,3,2,159
3,3,3,3,4,3,159
4,5,3,4,2,2,159
6,5,5,4,5,5,159
3,3,2,2,2,2,159
5,5,4,4,4,4,159
5,6,4,5,4,5,159
5,5,1,3,5,5,159
4,6,4,5,4,4,201
3,3,3,4,4,2,201
5,3,2,4,3,3,201
5,4,3,5,4,5,201
4,4,5,6,6,5,201
4,3,2,4,3,1,201
6,6,1,2,2,2,201
3,3,3,4,3,3,201
5,4,4,5,4,4,201
6,5,5,5,5,5,201
5,5,3,4,6,6,201
4,3,2,5,3,2,201
4,4,1,4,3,3,201
4,4,3,3,4,4,201
5,5,2,5,3,3,201
5,5,3,5,4,4,201
5,5,2,5,5,4,201
5,5,5,5,5,5,226
4,4,4,5,4,4,226
4,4,3,3,4,4,226
5,5,6,4,5,5,226
5,5,5,5,5,5,226
5,5,5,5,5,5,226
5,4,3,3,4,3,226
5,4,4,5,4,4,226
5,4,4,4,4,4,226
5,5,4,5,4,4,226
6,5,5,5,5,5,226
6,5,5,5,5,5,226
6,5,5,5,5,5,226
4,3,3,5,2,4,226
5,5,5,5,5,5,226
3,4,2,4,2,3,226
5,5,5,3,6,5,226
5,5,4,4,5,5,226
6,4,4,2,2,2,226
5,5,4,4,2,2,226
3,3,3,3,2,2,160
3,3,2,5,3,3,160
3,2,2,3,3,3,160
5,4,4,5,5,5,160
4,3,1,3,1,1,160
2,2,2,1,2,1,160
5,5,3,4,5,5,160
5,5,5,5,6,6,160
2,2,2,2,2,2,160
4,4,2,3,4,3,160
4,4,3,4,3,3,160
5,3,3,2,2,4,160
5,5,4,5,4,4,98
5,6,4,5,6,5,98
6,6,6,5,6,6,98
6,6,5,6,5,5,98
5,5,3,5,5,5,98
6,6,5,3,6,6,98
5,5,5,4,6,5,98
5,5,4,4,4,4,98
5,5,4,4,5,4,98
6,6,5,5,5,5,57
5,5,4,5,5,4,57
5,6,5,5,6,6,57
6,6,4,5,6,5,57
5,5,5,5,5,5,57
6,5,4,4,5,5,57
3,2,4,3,3,3,75
4,4,4,3,3,3,75
6,6,3,6,6,6,75
5,5,4,5,5,4,75
6,5,4,5,3,3,75
5,5,4,5,4,4,75
3,3,3,3,3,3,75
4,4,3,4,3,3,42
4,4,4,3,4,4,42
5,3,1,4,2,2,42
5,5,4,4,4,4,42
5,4,4,4,4,4,42
4,4,3,3,3,3,141
6,6,3,6,5,3,141
3,3,3,4,4,4,141
5,5,1,5,4,2,141
5,4,2,4,5,3,141
4,4,3,4,4,4,141
5,5,4,5,5,4,141
3,4,4,5,4,4,141
4,4,4,4,2,2,141
5,5,4,4,5,5,141
5,5,4,3,5,4,141
4,4,3,4,2,2,161
2,2,1,2,3,2,161
4,4,2,3,3,3,161
4,4,2,4,4,3,161
4,4,4,4,4,4,161
3,2,1,3,2,1,161
5,5,2,5,4,5,161
5,4,4,4,4,4,161
2,2,2,2,4,3,161
5,4,4,6,4,4,161
5,4,5,4,5,5,161
6,5,5,3,5,5,161
4,4,3,4,3,3,268
5,4,4,5,5,5,268
4,4,4,5,4,4,268
5,5,4,3,4,4,268
4,4,2,2,4,2,268
4,4,2,4,2,2,268
5,5,3,5,4,3,268
4,4,3,5,3,4,268
5,4,3,3,3,3,268
4,4,2,3,5,5,268
4,4,3,5,5,4,268
5,4,3,5,4,4,268
5,5,3,3,4,4,268
5,4,3,4,5,4,268
5,5,4,5,6,6,268
2,2,1,2,1,1,268
4,4,3,4,3,3,268
4,4,4,2,4,4,268
5,5,4,5,5,5,268
4,4,2,5,2,4,268
5,4,5,4,5,4,268
4,4,1,4,2,2,268
4,3,3,3,3,3,268
5,5,3,3,5,5,268
5,4,4,4,4,4,268
4,3,2,3,5,4,268
4,4,3,4,3,3,268
4,4,2,4,3,4,268
5,5,3,3,2,2,249
4,4,2,5,3,3,249
5,5,4,4,4,4,249
5,5,1,5,3,2,249
5,5,4,3,5,4,249
3,3,5,3,4,5,249
5,5,5,5,4,4,249
4,4,2,4,4,4,249
5,4,3,5,4,4,249
5,4,5,5,2,3,249
4,4,2,4,3,3,249
4,4,1,4,2,2,249
4,3,4,4,3,3,249
3,3,2,4,2,2,249
5,6,5,5,5,5,249
5,4,2,5,5,4,249
5,5,4,5,4,4,249
6,6,2,5,4,4,249
5,5,3,5,3,3,249
5,5,5,6,4,4,249
4,4,3,5,4,4,249
5,5,3,5,4,4,249
5,5,3,5,5,5,249
5,6,4,5,5,5,249
5,5,5,5,5,5,99
5,5,3,5,4,4,99
5,4,3,5,3,4,99
4,4,2,5,3,3,99
5,5,2,4,2,2,99
5,4,3,5,3,3,99
5,5,4,5,4,4,99
5,5,1,5,3,4,99
5,5,5,5,5,5,99
4,4,4,5,4,4,193
4,2,2,3,2,1,193
4,4,3,4,4,4,193
5,5,3,4,4,2,193
5,5,2,5,3,3,193
5,5,4,5,4,4,193
5,4,4,4,4,3,193
4,4,5,5,4,4,193
5,5,3,5,3,3,193
4,4,3,4,3,2,193
4,5,2,4,3,2,193
4,4,1,4,2,2,193
5,5,2,3,5,4,193
4,4,2,3,4,4,193
4,4,4,3,4,4,193
5,5,4,4,5,5,193
3,3,3,4,2,2,202
5,4,4,5,5,5,202
4,4,1,3,4,4,202
3,3,3,4,5,5,202
5,4,3,5,4,4,202
6,5,5,5,1,5,202
4,4,2,4,4,4,202
4,4,4,5,4,4,202
2,3,3,2,5,3,202
4,3,3,3,2,3,202
5,5,2,4,4,4,202
4,4,2,4,3,3,202
4,4,2,4,3,2,202
4,4,3,5,5,4,202
4,4,4,4,2,3,202
5,4,4,4,4,4,202
4,4,2,4,3,3,202
4,4,3,3,4,4,172
5,5,5,4,5,5,172
5,5,5,5,6,5,172
4,4,1,4,5,4,172
5,5,5,5,5,5,172
3,3,1,4,2,1,172
5,5,3,5,5,5,172
2,2,3,3,1,2,172
5,4,5,4,5,5,172
5,4,2,4,3,3,172
4,4,2,4,2,2,172
4,4,4,3,4,4,172
4,4,4,3,3,2,172
5,5,5,5,5,5,203
6,6,6,5,6,6,203
5,5,4,4,4,4,203
5,5,3,5,4,4,203
6,6,5,4,5,5,203
3,5,2,4,2,2,203
5,5,5,4,5,5,203
5,5,4,4,4,2,203
5,5,3,5,1,1,203
5,5,3,6,4,2,203
5,5,4,5,5,4,203
5,4,2,4,3,4,203
5,4,4,3,5,4,203
5,4,2,4,3,4,203
5,5,4,5,4,3,203
5,5,3,5,4,4,203
4,4,4,4,4,4,203
4,4,4,5,5,4,227
4,4,2,1,2,2,227
6,5,3,6,3,4,227
5,5,1,5,3,2,227
3,3,1,3,1,1,227
4,4,4,3,4,4,227
5,4,3,4,4,5,227
4,5,2,3,4,4,227
5,5,4,4,6,4,227
5,5,5,5,5,5,227
5,5,3,4,5,5,227
3,4,2,3,3,3,227
5,3,5,6,4,5,227
4,3,2,3,1,1,227
5,3,1,2,4,3,227
4,4,4,4,4,4,227
5,4,3,3,5,5,227
5,4,3,4,2,4,227
4,4,1,4,2,3,227
4,4,3,5,4,4,227
6,5,5,5,5,4,292
5,5,4,5,5,4,292
6,5,5,5,6,5,292
5,5,4,5,4,4,292
4,5,4,4,5,4,292
5,5,4,5,4,4,292
5,5,3,5,4,4,292
6,6,5,5,4,4,292
6,6,4,2,4,4,292
5,5,4,5,4,4,292
5,5,5,5,3,3,292
6,6,4,5,4,5,292
5,4,5,1,2,1,292
5,4,5,4,5,4,292
6,6,6,5,6,6,292
5,5,4,3,4,4,292
5,5,2,6,4,3,292
5,5,3,5,4,3,292
5,5,4,5,4,4,292
6,6,5,5,5,5,292
5,5,3,4,4,4,292
4,3,4,3,4,3,292
6,6,5,5,5,5,292
5,5,4,5,4,4,292
5,5,4,4,5,4,292
5,5,4,5,4,4,292
5,5,4,5,3,3,292
4,4,2,3,4,3,292
6,6,3,5,5,6,292
5,5,4,5,5,3,292
5,4,3,5,2,3,292
4,4,4,4,4,4,292
5,5,3,6,4,4,292
5,5,4,5,4,4,292
5,5,2,5,4,2,292
6,6,5,2,6,5,292
5,5,3,5,3,3,292
5,5,2,4,5,5,292
5,5,2,4,5,5,292
5,4,3,5,5,3,292
5,4,2,4,2,3,292
5,5,4,5,3,3,292
4,3,2,5,2,2,292
5,5,2,5,5,2,292
6,6,5,5,5,5,292
5,5,4,5,4,4,292
4,5,2,4,5,4,292
4,4,4,4,4,3,118
5,5,3,4,4,4,118
5,4,4,3,4,4,118
2,3,3,4,3,3,118
5,5,2,4,3,2,118
4,4,5,4,5,5,118
6,5,5,5,6,6,118
5,5,4,5,5,4,118
4,4,2,5,3,4,118
5,4,2,3,5,4,118
5,5,2,5,4,4,119
3,3,4,2,4,4,119
4,3,4,4,4,4,119
5,4,2,5,4,4,119
2,3,3,3,2,3,119
4,4,2,4,4,2,119
4,5,2,5,4,3,119
5,4,3,4,3,4,119
5,5,4,6,5,4,119
5,4,4,3,5,4,119
5,5,4,5,5,5,142
4,3,2,5,3,4,142
5,5,2,5,4,4,142
4,4,3,5,5,5,142
5,4,5,5,5,5,142
4,4,2,5,4,3,142
4,3,3,4,3,3,142
5,5,2,4,4,4,142
3,2,1,3,3,3,142
5,5,4,4,5,6,142
4,3,2,4,3,5,142
4,4,5,3,6,6,143
4,4,3,2,6,5,143
2,2,3,2,2,2,143
4,4,4,3,4,4,143
2,2,5,3,2,2,143
4,5,5,2,5,5,143
5,5,5,6,6,6,143
5,5,4,4,4,5,143
5,2,4,3,3,5,143
4,4,3,2,4,5,143
3,3,1,3,2,1,143
4,4,4,4,4,4,180
4,4,3,5,4,4,180
5,5,5,5,4,4,180
5,5,4,5,4,4,180
6,6,4,5,5,4,180
5,4,3,4,4,4,180
4,4,4,6,4,4,180
6,6,4,5,5,5,180
5,5,3,5,5,5,180
5,4,2,3,3,4,180
5,5,3,3,4,3,180
4,4,4,5,5,5,180
6,6,4,6,5,5,180
5,5,4,5,5,5,180
5,5,2,5,4,4,85
3,3,1,3,3,3,85
4,4,2,4,5,5,85
4,5,3,4,3,4,85
5,5,3,4,4,4,85
5,5,4,5,5,4,85
4,5,2,5,3,3,85
5,5,3,5,5,5,85
5,5,5,5,6,6,228
3,3,2,3,2,1,228
2,2,4,2,2,2,228
5,5,2,5,5,5,228
2,1,2,4,2,1,228
5,5,3,4,4,3,228
6,6,5,6,6,6,228
4,4,4,3,4,3,228
6,6,4,5,4,6,228
5,4,4,5,4,3,228
4,4,4,5,4,2,228
5,5,4,4,5,5,228
5,5,4,5,5,5,228
4,4,4,5,4,4,228
5,5,4,5,5,4,228
4,4,1,4,3,4,228
5,5,3,3,5,3,228
4,4,3,4,5,4,228
5,5,4,5,4,4,228
5,5,3,5,4,4,228
4,4,3,5,3,2,204
6,6,5,6,5,5,204
6,5,4,6,4,5,204
6,5,3,6,4,5,204
6,6,2,6,6,6,204
3,3,2,3,3,2,204
4,4,3,4,5,4,204
5,5,4,4,5,5,204
6,6,3,1,4,3,204
5,4,3,5,5,5,204
4,4,3,4,3,4,204
5,5,4,5,5,5,204
5,5,4,5,5,5,204
5,5,5,6,5,5,204
5,4,3,4,4,3,204
4,4,4,4,4,4,204
5,5,3,4,5,4,204
5,5,4,4,4,4,58
6,6,5,5,5,5,58
5,5,3,5,5,4,58
5,5,4,5,5,5,58
5,5,5,5,5,4,58
6,6,4,5,5,5,58
4,4,1,4,2,3,76
5,5,3,4,4,4,76
5,5,5,5,5,5,76
4,4,4,3,4,4,76
5,5,4,3,5,5,76
3,2,2,3,2,2,76
5,4,3,4,3,2,76
3,4,1,2,5,5,162
4,4,4,3,2,2,162
5,4,4,4,3,4,162
4,4,5,3,4,4,162
4,3,1,3,2,4,162
4,4,1,4,3,4,162
4,4,1,2,3,3,162
5,5,4,4,6,3,162
5,5,2,2,2,2,162
3,3,3,3,4,4,162
4,4,3,4,4,4,162
4,3,1,3,1,1,162
2,2,2,3,1,1,86
4,4,1,3,4,4,86
5,5,3,4,3,2,86
2,1,2,2,2,2,86
5,4,4,4,5,5,86
5,5,5,6,5,5,86
3,2,1,3,1,3,86
3,2,1,5,1,1,86
4,4,2,4,2,2,239
4,2,3,4,2,2,239
4,4,4,3,5,4,239
5,5,2,4,1,1,239
3,4,2,3,3,2,239
3,4,1,2,1,1,239
